% Model:              modelG_beltrami.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 28 2017, 20:50
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.1                                               0.9990102728405472+6.454676608482623E-9i
0.1263848202934298                                0.9990102728584488+8.15762325973511E-9i
0.15973122800602543                               0.9990102728870305+1.0309779217698856E-8i
0.2018760254679039                                0.9990102729327377+1.3029555417547815E-8i
0.25514065200312885                               0.9990102730056653+1.646649093563685E-8i
0.32245905452963947                               0.9990102731221652+2.0809349785066766E-8i
0.4075392965871777                                0.999010273308206+2.6296237552232287E-8i
0.5150678076168125                                0.9990102736052295+3.3227144309976786E-8i
0.6509675230458171                                0.9990102740793442+4.197932604990778E-8i
0.822724134170047                                 0.9990102748359632+5.30257812368351E-8i
1.03979841848149                                  0.9990102760425518+6.69566900546727E-8i
1.3141473626117568                                0.9990102779648603+8.450270606970874E-8i
1.6608827826277157                                0.9990102810228811+1.065569055810579E-7i
2.0991037201085545                                0.9990102858764124+1.3418798620011613E-7i
2.6529484644318972                                0.9990102935516751+1.686291274658745E-7i
3.3529241492495583                                0.9990103056219549+2.1121216797727215E-7i
4.237587160604064                                 0.999010324441977+2.631921741882309E-7i
5.355666917706899                                 0.999010353404867+3.253736471319046E-7i
6.768750009458534                                 0.9990103970960185+3.9742558379402515E-7i
8.554672535565684                                 0.999010461059642+4.768239687187593E-7i
10.811807510766078                                0.9990105507012396+5.576228197899558E-7i
13.664483492953257                                0.9990106689248669+6.298406677913907E-7i
17.26983290659436                                 0.9990108129529842+6.808479998130663E-7i
21.826447283974872                                0.9990109724232741+6.995922377088496E-7i
27.58531617629184                                 0.9990111314437665+6.819085776862901E-7i
34.863652276780876                                0.9990112744814997+6.328261862577604E-7i
44.06236427773573                                 0.9990113919750778+5.637414783026656E-7i
55.68813990945273                                 0.9990114818714587+4.870428404317922E-7i
70.38135554931561                                 0.9990115474304866+4.121796877025109E-7i
88.95134973108236                                 0.999011594063093+3.4457317419815896E-7i
112.42100350620873                                0.9990116271128935+2.8636720232123185E-7i
142.08308325339223                                0.9990116508850635+2.3767129516717029E-7i
179.5714494371641                                 0.9990116684832127+1.9758639428603938E-7i
226.9510536694671                                 0.9990116819967776+1.6485484695298523E-7i
286.83168133420116                                0.9990116927713126+1.3820657438122246E-7i
362.51170499885353                                0.9990117016490351+1.1651322182223619E-7i
458.1597669054491                                 0.9990117091497136+9.883711548120354E-8i
579.0443980602489                                 0.999011715594534+8.442955843601548E-8i
731.8242219076182                                 0.9990117211855658+7.270888335239699E-8i
924.9147277217335                                 0.9990117260551595+6.323378238104705E-8i
1168.9518164985777                                0.9990117302949907+5.5678985502998006E-8i
1477.3776525985127                                0.9990117339724754+4.9815900744499254E-8i
1867.1810912919207                                0.9990117371403686+4.5498897198053826E-8i
2359.8334667821937                                0.9990117398413031+4.26567425201581E-8i
2982.471286216894                                 0.999011742110931+4.1288871409046135E-8i
3769.3909753883636                                0.9990117439789408+4.1466151591528166E-8i
4763.938010401341                                 0.9990117454701323+4.333586665017187E-8i
6020.894493336138                                 0.9990117466049456+4.71312123803055E-8i
7609.496685459883                                 0.9990117473999325+5.3185506006253994E-8i
9617.248711152964                                 0.9990117478682025+6.19519512974742E-8i
12154.742500762884                                0.9990117480201609+7.4030174136982E-8i
15361.749466718296                                0.9990117478643531+9.020063870309013E-8i
19414.919457438817                                0.9990117474091198+1.114691693048412E-7i
24537.51106639822                                 0.999011746664668+1.3912354106130504E-7i
31011.689265747817                                0.999011745646682+1.7480583080083686E-7i
39194.06774847221                                 0.9990117443815624+2.206041254932383E-7i
49535.352089591805                                0.9990117429153884+2.791687188041523E-7i
62605.16572014828                                 0.9990117413279792+3.5385897926753347E-7i
79123.42618981327                                 0.9990117397548914+4.4892865849891907E-7i
100000                                            0.9990117384225848+5.69759780198937E-7i
