% Model:              modelI.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 29 2017, 12:21
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.12139498970989959+8.772354303258202E-6i
0.012638482029342977                              0.12139501496197737+1.1086755844868303E-5i
0.01597312280060254                               0.1213950553138645+1.401163669813373E-5i
0.02018760254679039                               0.12139511978054605+1.770789587399876E-5i
0.025514065200312887                              0.12139522276247863+2.2378708070040567E-5i
0.03224590545296395                               0.1213953871670804+2.8280495795178018E-5i
0.040753929658717776                              0.12139564973348418+3.5736614845919124E-5i
0.05150678076168125                               0.1213960689019678+4.515427840286066E-5i
0.0650967523045817                                0.12139673797743661+5.704520252547827E-5i
0.0822724134170047                                0.12139780541086499+7.205020547935416E-5i
0.103979841848149                                 0.12139950718527702+9.096730675475204E-5i
0.13141473626117567                               0.12140221708115069+1.1478131279208948E-4i
0.1660882782627716                                0.12140652460615971+1.4468953024520233E-4i
0.20991037201085547                               0.12141335195941318+1.82111674284266E-4i
0.26529484644318974                               0.12142412420347659+2.28659740752796E-4i
0.3352924149249558                                0.12144100023165724+2.86022894298614E-4i
0.4237587160604063                                0.12146714900063012+3.556927504269401E-4i
0.5355666917706899                                0.12150699123303893+4.3842744482304295E-4i
0.6768750009458534                                0.12156620509402104+5.333721139321902E-4i
0.8554672535565685                                0.12165113650206108+6.369144643956855E-4i
1.0811807510766078                                0.12176724502423265+7.417463720117837E-4i
1.3664483492953259                                0.121916690094637+8.370513303969407E-4i
1.726983290659436                                 0.12209615456083966+9.105411804983215E-4i
2.182644728397487                                 0.12229643776421549+9.517449303113075E-4i
2.7585316176291843                                0.12250413328701633+9.548466379533102E-4i
3.4863652276780877                                0.12270434734148268+9.201574901733832E-4i
4.406236427773573                                 0.12288385319069343+8.542843904936349E-4i
5.568813990945273                                 0.12303428196792725+7.684874032479464E-4i
7.038135554931562                                 0.12315374284039893+6.751218652344866E-4i
8.895134973108236                                 0.12324566429222038+5.840084404030314E-4i
11.242100350620873                                0.12331589208010618+5.007864132471677E-4i
14.208308325339223                                0.12337007161185579+4.274822172621495E-4i
17.957144943716408                                0.12341245729106831+3.6409929605362497E-4i
22.695105366946706                                0.12344599875419357+3.0994808006722867E-4i
28.683168133420118                                0.12347286830703075+2.641940105926923E-4i
36.251170499885355                                0.12349477294712789+2.259082542587796E-4i
45.81597669054491                                 0.12351300546989108+1.9408829437933526E-4i
57.90443980602489                                 0.12352847897589549+1.6777394952300164E-4i
73.18242219076181                                 0.12354183437159576+1.461393789505697E-4i
92.49147277217335                                 0.12355354891983653+1.2850563118298373E-4i
116.89518164985776                                0.1235640011095476+1.1431840118321025E-4i
147.73776525985127                                0.12357350783746082+1.0312244248293357E-4i
186.71810912919207                                0.12358234341887199+9.453530614697888E-5i
235.98334667821936                                0.12359074218102176+8.822425137230424E-5i
298.2471286216894                                 0.12359888706431156+8.389363859645721E-5i
376.93909753883634                                0.1236068901536189+8.128883233802787E-5i
476.39380104013406                                0.12361477425228237+8.022174886593514E-5i
602.0894493336137                                 0.12362247152793783+8.062094385180534E-5i
760.9496685459883                                 0.12362986322789225+8.25904306547875E-5i
961.7248711152964                                 0.12363686202106874+8.643378018733176E-5i
1215.4742500762884                                0.12364349123887214+9.261200575872752E-5i
1536.1749466718297                                0.1236499008924136+1.0166043697631989E-4i
1941.4919457438816                                0.12365630680951495+1.1412841933016051E-4i
2453.751106639822                                 0.1236628890635733+1.3059133469483968E-4i
3101.168926574782                                 0.1236697048063006+1.5174254204397878E-4i
3919.406774847221                                 0.12367665376975402+1.785378364546783E-4i
4953.53520895918                                  0.12368350598227629+2.1235418097283694E-4i
6260.516572014828                                 0.12368997763481993+2.5513031649610705E-4i
7912.342618981326                                 0.12369582097085781+3.0947036527709346E-4i
10000                                             0.12370088062140831+3.787270376960738E-4i
