% Model:              modelJ.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 29 2017, 14:34
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.10180972081710188+2.9013611957229623E-5i
0.012638482029342977                              0.10180987306345357+3.6667145675632825E-5i
0.01597312280060254                               0.10181011621748425+4.6338364271174066E-5i
0.02018760254679039                               0.10181050457308984+5.855791316677304E-5i
0.025514065200312887                              0.10181112468539959+7.399470022471898E-5i
0.03224590545296395                               0.10181211474275632+9.349059999232458E-5i
0.040753929658717776                              0.10181369501218757+1.1810251514173464E-4i
0.05150678076168125                               0.10181621621271371+1.4915192143442264E-4i
0.0650967523045817                                0.10182023570675279+1.8828025885547436E-4i
0.0822724134170047                                0.10182663665085086+2.375045565763311E-4i
0.103979841848149                                 0.10183681171116883+2.992593863082891E-4i
0.13141473626117567                               0.10185294007463759+3.763947657678552E-4i
0.1660882782627716                                0.10187838929367608+4.720689066124936E-4i
0.20991037201085547                               0.10191826087295794+5.894217622395106E-4i
0.26529484644318974                               0.10198003517918874+7.308370981439459E-4i
0.3352924149249558                                0.10207410931916652+8.965216928851479E-4i
0.4237587160604063                                0.1022136784083709+0.0010821591347715733i
0.5355666917706899                                0.10241291842072107+0.001275805934918564i
0.6768750009458534                                0.10268222478871622+0.0014553628717678929i
0.8554672535565685                                0.10302049435656181+0.0015896748389225305i
1.0811807510766078                                0.10340803373627797+0.0016464910312170686i
1.3664483492953259                                0.10380700432687082+0.0016059426993554463i
1.726983290659436                                 0.10417286137009635+0.0014709305206293914i
2.182644728397487                                 0.1044700951381945+0.001265878911989551i
2.7585316176291843                                0.10468128021571578+0.0010257024259056424i
3.4863652276780877                                0.10480620153628552+7.845014523251367E-4i
4.406236427773573                                 0.1048565103390373+5.698864427705707E-4i
5.568813990945273                                 0.1048515224928554+4.0142320565424383E-4i
7.038135554931562                                 0.10481567285829682+2.8923623728686193E-4i
8.895134973108236                                 0.10477473778103838+2.318604640737449E-4i
11.242100350620873                                0.10474956196989155+2.1622122373175318E-4i
14.208308325339223                                0.10475008594207445+2.22286874611751E-4i
17.957144943716408                                0.10477373468060527+2.3106752395371188E-4i
22.695105366946706                                0.1048096608383729+2.3169670050245654E-4i
28.683168133420118                                0.10484649233728512+2.2341136161287446E-4i
36.251170499885355                                0.1048784597764971+2.1147392085677546E-4i
45.81597669054491                                 0.1049059387391507+2.0086856302718872E-4i
57.90443980602489                                 0.10493161803594472+1.9309247398535258E-4i
73.18242219076181                                 0.10495712152829119+1.8731075391075074E-4i
92.49147277217335                                 0.10498269769396146+1.8259170590083354E-4i
116.89518164985776                                0.1050082828080392+1.785011967993485E-4i
147.73776525985127                                0.1050338472338002+1.747080212443321E-4i
186.71810912919207                                0.10505922282275103+1.7091045517512267E-4i
235.98334667821936                                0.10508413914862305+1.6699451639139225E-4i
298.2471286216894                                 0.10510839606577316+1.6303258469179007E-4i
376.93909753883634                                0.1051319433369195+1.5913191042056315E-4i
476.39380104013406                                0.1051547849457877+1.5528789323005727E-4i
602.0894493336137                                 0.10517678386579973+1.5139499664871224E-4i
760.9496685459883                                 0.10519755306618955+1.474324869730559E-4i
961.7248711152964                                 0.10521653187109746+1.4367943605057024E-4i
1215.4742500762884                                0.10523318093595624+1.40805128770909E-4i
1536.1749466718297                                0.10524715653582009+1.3981494287220784E-4i
1941.4919457438816                                0.10525839100848733+1.4193872094644394E-4i
2453.751106639822                                 0.10526709000251293+1.4852927366846736E-4i
3101.168926574782                                 0.10527368257155402+1.6098635706894083E-4i
3919.406774847221                                 0.10527871146677063+1.8072887263257572E-4i
4953.53520895918                                  0.10528269282845701+2.0925629993429604E-4i
6260.516572014828                                 0.10528600371954383+2.483107120179244E-4i
7912.342618981326                                 0.10528884443609964+3.0010655355964746E-4i
10000                                             0.1052912858487176+3.675725481865997E-4i
